source	target	depth
computer vision	computational imaging	1
computer vision	computational photography	1
computer vision	computer audition	1
computer vision	egocentric vision	1
computer vision	machine vision glossary	1
computer vision	space mapping	1
computer vision	teknomo–fernandez algorithm	1
computer vision	vision science	1
computer vision	visual agnosia	1
computer vision	visual perception	1
computer vision	visual system	1
deep learning	applications of artificial intelligence	1
deep learning	comparison of deep learning software	1
deep learning	compressed sensing	1
deep learning	differentiable programming	1
deep learning	echo state network	1
deep learning	liquid state machine	1
deep learning	reservoir computing	1
deep learning	scale space	1
deep learning	sparse coding	1
deep learning	stochastic parrot	1
stochastic parrot	1 the road	2
stochastic parrot	chinese room	2
stochastic parrot	criticism of artificial neural networks	2
stochastic parrot	criticism of deep learning	2
stochastic parrot	criticism of google	2
stochastic parrot	cut-up technique	2
stochastic parrot	infinite monkey theorem	2
stochastic parrot	generative ai	2
stochastic parrot	markov text	2
stochastic parrot	stochastic parsing	2
sparse coding	artificial neural network	2
sparse coding	autoencoder	2
sparse coding	biological neuron model	2
sparse coding	binding problem	2
sparse coding	cognitive map	2
sparse coding	deep learning	2
sparse coding	feature integration theory	2
sparse coding	grandmother cell	2
sparse coding	models of neural computation	2
sparse coding	neural correlate	2
sparse coding	neural decoding	2
sparse coding	neural oscillation	2
sparse coding	receptive field	2
sparse coding	sparse distributed memory	2
sparse coding	vector quantization	2
scale space	difference of gaussians	2
scale space	gaussian function	2
scale space	mipmap	2
reservoir computing	deep learning	2
reservoir computing	extreme learning machine	2
reservoir computing	unconventional computing	2
unconventional computing	wdr paper computer	3
unconventional computing	moniac	3
unconventional computing	hypercomputation	3
extreme learning machine	reservoir computing	3
extreme learning machine	random projection	3
extreme learning machine	random matrix	3
mipmap	anisotropic filtering	3
mipmap	hierarchical modulation	3
mipmap	pyramid (image processing)	3
mipmap	scale space	3
mipmap	spatial anti-aliasing	3
spatial anti-aliasing	alpha to coverage	4
spatial anti-aliasing	anisotropic filtering	4
spatial anti-aliasing	font rasterization	4
spatial anti-aliasing	sampling (signal processing)	4
spatial anti-aliasing	temporal anti-aliasing	4
pyramid (image processing)	mipmap	4
pyramid (image processing)	scale space implementation	4
pyramid (image processing)	level of detail (computer graphics)	4
pyramid (image processing)	jpeg 2000	4
hierarchical modulation	link adaptation	4
hierarchical modulation	scalable video coding	4
hierarchical modulation	high efficiency video coding	4
hierarchical modulation	av1	4
hierarchical modulation	mpeg-4 sls	4
hierarchical modulation	lcevc	4
hierarchical modulation	dts-hd master audio	4
hierarchical modulation	bitrate peeling	4
hierarchical modulation	wavpack	4
hierarchical modulation	jpeg 2000	4
anisotropic filtering	anti-aliasing filter	4
anisotropic filtering	digital artifact	4
neural network	adaline	1
neural network	adaptive resonance theory	1
neural network	biological cybernetics	1
neural network	biologically inspired computing	1
neural network	cerebellar model articulation controller	1
neural network	cognitive architecture	1
neural network	cognitive science	1
neural network	connectionism	1
neural network	connectomics	1
